Game,Rating,Reviewscore,Me - Review,Percentile,Launch Platform(s),Played on,Launch Year,Play Year,Year(s) revisited/ continued/ earlier dabbled,Hours Played,Completion,Playthroughs,DLC/ Major update played,Publisher,Developer,Franchise,Perspective,Main Category,Extra Descriptors,First Rating,Remaster Reviewscore,Remaster Release Year,Developer2
Super Mario Bros. Wonder,84,92,-8,71%,Switch,Switch,2023,2023,,11,Finished,1,No,Nintendo,Nintendo,Super Mario (2D),2D,Platformer,,,,,
Citizen Sleeper,84,84,0,71%,"XB1, XBS, PC, Switch",PC,2022,2023,,5,Extra,1,Yes,Indie,Jump Over The Age,Citizen Sleeper,Overview,RPG,"Story-driven, interactive story",,,,
Banjo-Kazooie,84,92,-8,71%,N64,Switch,1998,2023,,6,Dropped,0,Yes,Nintendo,Rare,Banjo-Kazooie,Third person,Platformer,Collectathon,,,,
Splatoon 3,84,83,1,71%,Switch,Switch,2022,2022,,21,Extra,1,No,Nintendo,Nintendo,Splatoon,Third person,Shooter,"Multiplayer, platforming",,,,
Kena: Bridge of Spirits,84,82,2,71%,"PS4,PS5,PC",PS5,2021,2021,,9,Finished,1,No,Indie,Ember Lab,Kena,Third person,Action-adventure,"Soulslike, platforming, exploration, story-driven",,,,
Returnal,84,86,-2,71%,PS5,PS5,2021,2021,2022,11,Finished,1,Yes,Sony,Housemarque,Returnal,Third person,Roguelike,"Shooter, metroidvania, bullet-hell",,,,
Gears 5,84,85,-1,71%,"XB1,PC",XBS,2019,2021,,12,Finished,1,No,Microsoft,The Coalition,Gears,Third person,Cover-shooter,"Linear, story-driven",,,,
The Legend of Zelda: Skyward Sword,84,93,-9,71%,Switch,Switch,2011,2021,,25,Finished,1,No,Nintendo,Nintendo,The Legend of Zelda,Third person,Action-adventure,"Puzzles, story-driven",,82,2021,
Golf Story,84,78,6,71%,Switch,Switch,2017,2017,,15,Extra,1,No,Indie,Sidebar Games,Golf Story,Top down,RPG,"Golf, puzzles",,,,
F1 2017,84,86,-2,71%,PS4,PS4,2017,2017,2018,123,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, sports, simulation",,,,
Europa Universalis IV,84,87,-3,71%,PC,PC,2013,2015,"2016, 2017, 2018, 2019, 2020",351,Extra,,Yes,Paradox Interactive,Paradox,Paradox 4X,Overview,Strategy,,80,,,
Watch Dogs,84,77,7,71%,PS4,PS4,2014,2014,,100,One-hundred,1,No,Ubisoft,Ubisoft Montreal,Watch Dogs,Third person,Cover-shooter,"Open-world, stealth, story-driven",,,,
Pokemon Black 2,84,80,4,71%,DS,3DS,2012,2013,,25,Finished,1,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based",,,,
Call of Duty Modern Warfare 3,84,89,-5,71%,"X360, PS3",PS3,2011,2011,2012,100,Finished,1,No,Activision-Blizzard,Infinity Ward,Call of Duty,First person,Shooter,"Action, multiplayer, linear",,,,
Football Manager 2009,84,83,1,71%,PC,PC,2008,2009,2010,220,Extra,,No,SEGA,Sports Interactive,Football Manager,Overview,Simulation,"Sports (football), management",,,,
Last Epoch,83,79,4,68%,PC,PC,2024,2024,,51,Extra,,No,Indie,Eleventh Hour Games,Last Epoch,Top down,Dungeon crawler,"Action-RPG, hack and slash",,,,
Wave Race 64,83,92,-9,68%,N64,Switch,1996,2024,,1,Finished,,No,Nintendo,Nintendo,Wave Race,Vehicle,Racing,"Arcade, sports",,,,
Baldur's Gate 3,83,96,-13,68%,PC,PC,2023,2023,,28,Dropped,0,No,Indie,Larian studios,Baldur's Gate,Third person,RPG,Turn-based,,,,
Mario & Luigi Superstar Saga,83,90,-7,68%,GBA,Switch,2003,2023,,14,Finished,1,Yes,Nintendo,AlphaDream,Mario RPG,Top down,JRPG,"Puzzles, turn-based",,,,
Ys IX: Monstrum Nox,83,80,3,68%,"PS4, PC, Switch",PS5,2021,2022,,26,Extra,1,No,NIS America,Nihon Falcom,Ys,Third person,Action-RPG,"JRPG, story-driven, hack and slash",,,,
Halo 5: Guardians,83,84,-1,68%,XB1,XBS,2015,2022,,6,Finished,1,No,Microsoft,343 industries,Halo,First person,Shooter,"Action, linear, multiplayer",,,,
Final Fantasy X,83,92,-9,68%,PS2,PC,2001,2022,,29,Finished,1,No,Square Enix,Square Enix,Final Fantasy,Third person,JRPG,"Story-driven, turn-based",,85,2013,
Borderlands 3,83,80,3,68%,"PS4,XB1,PC",PS4,2019,2019,2021,94,One-hundred,2,No,2K Games,Gearbox,Borderlands,First person,Looter-shooter,"Open-world, action-rpg, looter",,,,
F1 2019,83,86,-3,68%,PS4,PS4,2019,2019,2020,165,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, simulation, sports",,,,
F1 2018,83,84,-1,68%,PS4,PS4,2018,2018,2019,82,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, sports, simulation",,,,
Pokemon Sun,83,87,-4,68%,3DS,3DS,2016,2016,,25,Finished,1,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based",,,,
Tomb Raider,83,85,-2,68%,PS4,PS4,2013,2016,,10,Finished,1,No,Square Enix,Crystal Dynamics,Tomb Raider,Third person,Cover-shooter,"Linear, story-driven, platforming, puzzles",,,,
OlliOlli 2: Welcome to Olliwood,83,85,-2,68%,PS4,PS4,2015,2015,,23,Extra,1,No,Devolver Digital,Roll7,OlliOlli,2D,Platformer,Sports (skate),,,,
Terraria,83,83,0,68%,PC,PC,2011,2013,"2014, 2017",33,Finished,1,Yes,Indie,Re-Logic,Terraria,2D,Sandbox,"Platformer, action-RPG",,,,
Assassin's Creed Revelations,83,80,3,68%,"X360, PS3",PS3,2011,2011,,40,Extra,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,Third person,Stealth,"Open-world, platforming, story-driven",,,,
Football Manager 2010,83,87,-4,68%,PC,PC,2009,2010,2011,32,Dropped,,No,SEGA,Sports Interactive,Football Manager,Overview,Simulation,"Sports (football), management",,,,
Lego Star Wars II: The Original Trilogy,83,84,-1,68%,PS2,PS2,2006,2007,,50,Extra,1,No,LucasArts,Traveller's Tales,Lego Games,Third person,Action-platformer,Sandbox,,,,
Ratchet & Clank (2002),82,88,-6,65%,PS2,PS5,2002,2024,,11,Finished,1,No,Sony,Insomniac,Ratchet & Clank,Third person,Action-platformer,,,83,2012,
Paper Mario,82,93,-11,65%,N64,Switch,2000,2024,,17,Finished,1,No,Nintendo,Intelligent Systems,Mario RPG,Top down,JRPG,Turn-based,,,,
F-Zero,82,83,-1,65%,SNES,Switch,1991,2024,,2,Finished,,No,Nintendo,Nintendo,F-Zero,Vehicle,Racing,Arcade,,,,
Armored Core VI: Fires of Rubicon,82,85,-3,65%,"PC, PS4, PS5, XB1, XBS",XBS,2023,2023,,16,Finished,1,No,Bandai Namco,From Software,Armored Core,Third person,Action,Mecha,,,,
Pokemon Legends Arceus,82,84,-2,65%,Switch,Switch,2022,2022,,23,Finished,1,No,Nintendo,Game Freak,Pokemon,Third person,JRPG,"Monster collecting, monster hunting, turn-based",,,,
Deathloop,82,88,-6,65%,"PS5,PC",PS5,2021,2021,,14,Finished,1,No,Bethesda,Arkane Studios,Deathloop,First person,Roguelike,"Shooter, stealth, sandbox, immersive-sim",,,,
Monster Sanctuary,82,80,2,65%,"PC,PS4,XB1,Switch",XBS,2020,2021,,27,Finished,1,No,Team17,Moi Rai Games,Monster Sanctuary,2D,Metroidvania,"Platformer, puzzles, RPG, turn-based, monster collecting",,,,
Forza Motorsport 7,82,85,-3,65%,"XB1, PC",XBS,2016,2021,,53,Finished,,No,Microsoft,Turn 10 studios,Forza,Vehicle,Racing,Simcade,,,,
Halo 4,82,87,-5,65%,X360,XBS,2012,2021,,10,Finished,1,No,Microsoft,343 industries,Halo,First person,Shooter,"Action, linear, multiplayer",,,,
Luigi's Mansion 3,82,86,-4,65%,Switch,Switch,2019,2019,,14,Finished,1,No,Nintendo,Next Level Games,Luigi's Mansion,Third person,Adventure,"Puzzles, horror",,,,
Assassin's Creed Origins,82,81,1,65%,PS4,PS4,2017,2017,,38,Finished,1,No,Ubisoft,Ubisoft Montreal,Assassin's Creed,Third person,Action-RPG,"Open-world, stealth, platforming",,,,
F1 2016,82,82,0,65%,PS4,PS4,2016,2016,2017,131,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, sports, simulation",,,,
Team Fortress 2,82,92,-10,65%,PC,PC,2007,2014,2015,20,Finished,,No,Valve,Valve,Team Fortress,First person,Shooter,Multiplayer,,,,
Fifa 11,82,88,-6,65%,"X360, PS3",PS3,2010,2010,2011,20,Dropped,,No,EA,EA sports,Fifa,Top down,Sports,"Football, management",,,,
Rollercoaster Tycoon 2,82,74,8,65%,PC,PC,2002,2005,"2006, 2007, 2010, 2019",202,Extra,,No,Infogrames (Atari),Chris Sawyer,Rollercoaster Tycoon,Top down,Simulation,Management,,,,
Metroid: Samus Returns,81,85,-4,62%,3DS,3DS,2017,2024,,9,Finished,1,No,Nintendo,Mercury steam,Metroid,2D,Metroidvania,"Platformer, action, remake",,,,
Jak 3,81,84,-3,62%,PS2,PS5,2004,2024,,9,Finished,1,No,Sony,Naughty Dog,Jak and Daxter,Third person,Action-platformer,Open-world,,81,2012,
The Crew Motorfest,81,76,5,62%,"PS4, PS5, XB1, XBS, PC",XBS,2023,2023,2024,43,Extra,,Yes,Ubisoft,Ivory Tower,The Crew,Vehicle,Racing,"Arcade, open-world",78,,,
Cassette Beasts,81,86,-5,62%,"PC, XB1, XBS, NSW",PC,2023,2023,,15,Finished,1,No,Indie,Bytten Studio,Cassette Beasts,Top down,JRPG,"Monster collecting, open-world, turn-based",,,,
Dave The Diver,81,90,-9,62%,PC,Switch,2023,2023,,21,Extra,1,No,Indie,Mintrocket,Dave the Diver,2D,Simulation,"Management, adventure",,,,
Inside,81,91,-10,62%,"XB1, PS4, PC",PS5,2016,2023,,3,Finished,1,No,Indie,Playdead,Inside,2D,Puzzle,"Platforming, linear",,,,
Halo Infinite,81,87,-6,62%,"XB1, XBS, PC",XBS,2021,2022,,14,Extra,1,No,Microsoft,Bungie,Halo,First person,Shooter,"Action, open-world, multiplayer",,,,
Bioshock 2,81,88,-7,62%,"PS3, X360",PS5,2010,2022,,4,Dropped,0,No,2K Games,Irrational Games,Bioshock,First person,Shooter,"Horror, linear, story-driven, immersive-sim",,84,2016,
Monster Hunter Rise,81,88,-7,62%,Switch,Switch,2021,2021,,27,Dropped,0,No,Capcom,Capcom,Monster Hunter,Third person,Action-RPG,"Action, monster hunting, multiplayer (co-op)",,,,
Spiritfarer,81,87,-6,62%,"PC, Switch, PS4, XB1",PC,2020,2020,,26,Finished,1,No,Indie,Thunder Lotus Games,Spiritfarer,2D,Adventure,"Platformer, management, social, story-driven",,,,
Path of Exile,81,93,-12,62%,PC,PC,2013,2019,,39,Finished,1,Yes,Indie,Grinding Gear Games,Path of Exile,Top down,Dungeon crawler,"Hack and slash, looter, action-RPG",73,,,
WipeOut 2048,81,85,-4,62%,Vita,PS4,2012,2017,,10,Dropped,,No,Sony,Studio Liverpool,WipeOut,Vehicle,Racing,Arcade,,85,2017,
Assassin's Creed Unity,81,70,11,62%,PS4,PS4,2014,2014,,61,Extra,1,Yes,Ubisoft,Ubisoft Montreal,Assassin's Creed,Third person,Stealth,"Open-world, platforming, story-driven",,,,
inFAMOUS Second Son,81,80,1,62%,PS4,PS4,2014,2014,,46,One-hundred,1,No,Sony,Sucker Punch,inFAMOUS,Third person,Action-adventure,"Open-world, sandbox, superhero, story-driven",,,,
Resogun,81,84,-3,62%,PS4,PS4,2013,2013,,27,One-hundred,1,No,Sony,Housemarque,Resogun,2D,Twin-stick shooter,"Action, bullet-hell, roguelike",,,,
Fifa 14,81,85,-4,62%,"PS3, PS4, X360, XB1",PS4,2013,2013,2014,534,Extra,,No,EA,EA sports,Fifa,Top down,Sports,"Football, management",,,,
Grand Theft Auto Vice City Stories,81,86,-5,62%,PSP,PSP,2006,2008,,45,Dropped,0,No,Rockstar,Rockstar,Grand Theft Auto,Third person,Action-adventure,"Open-world, sandbox",,,,
Lego Star Wars: The Video Game,81,78,3,62%,PS2,PS2,2005,2006,,40,Extra,1,No,Eidos Interactive,Traveller's Tales,Lego Games,Third person,Action-platformer,Sandbox,,,,
Dungeons of Hinterberg,80,80,0,59%,"XBS, PC",XBS,2024,2024,,18,Extra,1,No,Curve Games,Microbird Games,Dungeons of Hinterberg,Third person,Action-RPG,"Social, hack and slash",,,,
Crisis Core: Final Fantasy VII,80,83,-3,59%,PSP,PS5,2008,2024,,11,Finished,1,No,Square Enix,Square Enix,Final Fantasy,Third person,Action-RPG,JRPG,,79,2022,
Pikmin 4,80,88,-8,59%,Switch,Switch,2023,2023,,16,Extra,1,No,Nintendo,Nintendo,Pikmin,Third person,Strategy,Puzzles,,,,
God of War II,80,93,-13,59%,PS2,PS5,2007,2023,,9,Finished,1,No,Sony,Santa Monica Studio,God of War,Third person,Action-adventure,"Hack and slash, platforming, linear, puzzles",,,2010,
The Legend of Zelda: A Link to the Past,80,95,-15,59%,SNES,Switch,1992,2023,,6,Dropped,0,No,Nintendo,Nintendo,The Legend of Zelda ,Top down,Adventure,Puzzles,,,,
Kirby and the Forgotten Land,80,84,-4,59%,Switch,Switch,2022,2022,,11,Extra,1,No,Nintendo,HAL laboratory,Kirby,Third person,Platformer,"Collectathon, action",,,,
Gears of War 4,80,84,-4,59%,"XB1, PC",XBS,2016,2021,,7,Finished,1,No,Microsoft,The Coalition,Gears,Third person,Cover-shooter,"Linear, story-driven",,,,
Dirt 5,80,82,-2,59%,"PS4,XB1,PC,PS5,XBS",PS5,2020,2020,2022,26,One-hundred,,Yes,Codemasters,Codemasters,Dirt,Vehicle,Racing,Simcade,79,,,
Ys Seven,80,79,1,59%,PSP,PC,2010,2019,,26,Finished,1,No,XSEED Games,Nihon Falcom,Ys,Top down,Action-RPG,"JRPG, story-driven, hack and slash",,,,
Overcooked 2,80,81,-1,59%,PS4,PS4,2018,2018,,9,Finished,1,No,Team17,Team17,Overcooked,Top down,Party,"Multiplayer (co-op), puzzles, management",,,,
Mario + Rabbids Kingdom Battle,80,85,-5,59%,Switch,Switch,2017,2017,,25,Finished,1,No,Ubisoft,Ubisoft Milan,Mario + Rabbids,Top down,Strategy,Turn-based,,,,
Overcooked,80,80,0,59%,PS4,PS4,2016,2016,,23,Finished,1,No,Team17,Team17,Overcooked,Top down,Party,"Multiplayer (co-op), management",,,,
Stardew Valley,80,89,-9,59%,PS4,PS4,2016,2016,,20,Dropped,0,No,Indie,ConcernedApe,Stardew Valley,Top down,RPG,"Social, farming",,,,
Overwatch,80,91,-11,59%,PS4,PS4,2016,2016,,68,Finished,,No,Activision-Blizzard,Blizzard,Overwatch,First person,Shooter,Multiplayer,,,,
Hearthstone,80,88,-8,59%,PC,PC,2014,2015,,5,Tried,,No,Activision-Blizzard,Blizzard,Warcraft,Overview,Strategy,Card,,,,
Fifa 12,80,90,-10,59%,"X360, PS3",X360,2011,2013,,30,Dropped,,No,EA,EA sports,Fifa,Top down,Sports,"Football, management",,,,
F1 2011,80,84,-4,59%,"X360, PS3",PS3,2011,2012,,70,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, sports, simulation",,,,
Minishoot' Adventures,79,88,-9,55%,PC,PC,2024,2024,,7,Extra,1,No,Indie,SoulGame Studio,Minishoot,Top down,Twin-stick shooter,Adventure,,,,
Ratchet & Clank: Up Your Arsenal,79,91,-12,55%,PS2,PS5,2004,2024,,4,Dropped,0,No,Sony,Insomniac,Ratchet & Clank,Third person,Action-platformer,,,83,2012,
Mario Kart 64,79,83,-4,55%,N64,Switch,1997,2024,,2,Finished,,No,Nintendo,Nintendo,Mario Kart,Vehicle,Racing,Kart,,,,
Diablo 4,79,88,-9,55%,"PS4, PS5, PC, XB1, XBS",PC,2023,2023,,93,Extra,,Yes,Activision-Blizzard,Blizzard,Diablo,Top down,Dungeon crawler,"Action-RPG, hack and slash, open-world, multiplayer (co-op), looter",66,,,
Rollerdrome,79,80,-1,55%,"PS4, PS5, PC",PC,2022,2023,,3,Finished,1,No,Private Division,roll7,Rollderdrome,Third person,Shooter,"Sports (skate), action",,,,
PlateUp!,79,80,-1,55%,PC,PC,2022,2022,2023,46,Extra,,Yes,Yogscast Games,It's happening,PlateUp!,Top down,Party,"Management, roguelike",,,,
Two Point Campus,79,84,-5,55%,"PC, PS4, PS5, XB1, XBS, Switch",PC,2022,2022,,16,Finished,1,No,SEGA,Two Point Studios,Two Point,Overview,Simulation,Management,,,,
Teenage Mutant Ninja Turtles: Shredder's Revenge,79,87,-8,55%,"PS4,  PS5, XB1, XBS, PC, Switch",PC,2022,2022,,3,Finished,1,No,Indie,Dotemu,TMNT,2D,Brawler,,,,,
Concrete Genie,79,77,2,55%,PS4,PS4,2019,2019,,6,One-hundred,1,No,Sony,PixelOpus,Concrete Genie,Third person,Action-adventure,"Puzzles, platforming, story-driven",,,,
Apex Legends,79,86,-7,55%,PS4,PS4,2019,2019,"2022, 2023",12,Finished,,Yes,EA,Respawn,Apex Legends,First person,Shooter,Multiplayer,,,,
Gran Turismo Sport,79,75,4,55%,PS4,PS4,2017,2018,"2019, 2020",112,Finished,,Yes,Sony,Polyphony Digital,Gran Turismo,Vehicle,Racing,"Sim, sports",71,,,
Middle Earth Shadow of Mordor,79,84,-5,55%,PS4,PS4,2014,2014,,36,Finished,1,No,Warner Bros,Monolith Productions,Middle Earth,Third person,Action-adventure,"Open-world, story-driven",,,,
Far Cry 4,79,85,-6,55%,PS4,PS4,2014,2014,,72,One-hundred,1,No,Ubisoft,Ubisoft Montreal,Far Cry,First person,Shooter,"Open-world, stealth, story-driven",,,,
Pokemon Y,79,86,-7,55%,3DS,3DS,2013,2013,,20,Finished,1,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based",,,,
Call of Duty Black Ops II,79,83,-4,55%,"X360, PS3, PC",PC,2012,2012,2013,55,Finished,1,No,Activision-Blizzard,Treyarch,Call of Duty,First person,Shooter,"Multiplayer, linear",,,,
Football Manager 2013,79,86,-7,55%,PC,PC,2012,2012,"2013, 2014",191,Extra,,No,SEGA,Sports Interactive,Football Manager,Overview,Simulation,"Sports (football), management",,,,
Fifa 07,79,82,-3,55%,PS2,PS2,2006,2006,,200,Finished,,No,EA,EA sports,Fifa,Top down,Sports,"Football, management",,,,
Balatro,78,91,-13,52%,"PC, PS4, PS5, XB1, XBS, Switch",PC,2024,2024,,4,Finished,,No,Indie,LocalThunk,Balatro,Overview,Roguelike,Card,,,,
Witchtastic,78,75,3,52%,"PC, Switch",PC,2021,2024,,4,Extra,1,No,Indie,Red Fur Games,Witchtastic,Top down,Party,Multiplayer (co-op),,,,
Ratchet & Clank: Going Commando,78,90,-12,52%,PS2,PS5,2003,2024,,6,Dropped,0,No,Sony,Insomniac,Ratchet & Clank,Third person,Action-platformer,,,83,2012,
Nobody Saves The World,78,80,-2,52%,"PC, XB1, XBS",XBS,2022,2022,,12,Finished,1,No,Indie,DrinkBox,Nobody Saves the World,Top down,Action-RPG,Hack and slash,,,,
Ori and The Blind Forest,78,89,-11,52%,"XB1,PC",PC,2015,2020,,7,Finished,1,No,Microsoft,Moon Studios,Ori,2D,Metroidvania,Platformer,,,,
Xenoblade Chronicles,78,92,-14,52%,Wii,Switch,2012,2020,,44,Finished,1,No,Nintendo,Monolith Soft,Xenoblade,Third person,Action-RPG,"JRPG, open-world, story-driven",,89,2020,
Kingdom Hearts 3,78,85,-7,52%,PS4,PS4,2019,2019,,27,Finished,1,No,Square Enix,Square Enix,Kingdom Hearts,Third person,Action-RPG,Story-driven,,,,
Trackmania Turbo,78,81,-3,52%,PS4,PS4,2016,2016,2021,71,Extra,,No,Ubisoft,Nadeo,Trackmania,Vehicle,Racing,Arcade,,,,
Ratchet & Clank (2016),78,85,-7,52%,PS4,PS4,2016,2016,,14,Finished,1,No,Sony,Insomniac,Ratchet & Clank,Third person,Platformer,"Action, story-driven",,,,
Assassin's Creed Syndicate,78,76,2,52%,PS4,PS4,2015,2015,,41,Finished,1,No,Ubisoft,Ubisoft Quebec,Assassin's Creed,Third person,Stealth,"Platforming, open-world, story-driven",,,,
Call of Duty Advanced Warfare,78,83,-5,52%,PS4,PS4,2014,2014,,159,Finished,1,No,Activision-Blizzard,Sledgehammer Games,Call of Duty,First person,Shooter,"Multiplayer, linear",,,,
Pokemon Omega Ruby,78,83,-5,52%,3DS,3DS,2014,2014,,25,Finished,1,No,Nintendo,Game Freak,Pokemon,Top down,JRPG,"Monster collecting, turn-based",,,,
XCOM: Enemy Unknown,78,89,-11,52%,"PC, PS3, X360",PC,2012,2014,,10,Dropped,0,No,2K Games,Firaxis,XCOM,Top down,Strategy,"Turn-based, management",,,,
Fifa 13,78,90,-12,52%,"X360, PS3",X360,2012,2013,,50,Finished,,No,EA,EA sports,Fifa,Top down,Sports,"Football, management",,,,
Torchlight 2,78,88,-10,52%,PC,PC,2012,2012,,14,Dropped,0,No,Indie,Runic Games,Torchlight,Top down,Dungeon crawler,"Action-RPG, hack and slash, looter",,,,
Football Manager 2012,78,84,-6,52%,PC,PC,2011,2011,2012,87,Finished,,No,SEGA,Sports Interactive,Football Manager,Overview,Simulation,"Sports (football), management",,,,
F1 2010,78,84,-6,52%,"X360, PS3",PS3,2010,2011,,30,Dropped,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, sports, simulation",,,,
Dragon Quest IX,78,87,-9,52%,DS,DS,2010,2010,,70,Finished,1,No,Square Enix,Level-5,Dragon Quest,Top down,JRPG,Turn-based,,,,
Prince of Persia The Lost Crown,77,87,-10,49%,"PC, PS4, PS5, XB1, XBS, Switch",PS5,2024,2024,,16,Finished,1,No,Ubisoft,Ubisoft Montpellier,Prince of Persia,2D,Metroidvania,"Platformer, action",,,,
Yakuza: Like a Dragon,77,86,-9,49%,"PS4, PS5, XB1, XBS, PC",PS5,2020,2024,,12,Dropped,0,No,SEGA,Ryu Ga Gotoku,Like a Dragon,Third person,JRPG,"Turn-based, story-driven",,,,
Star Fox 64,77,89,-12,49%,N64,Switch,1997,2024,,2,Finished,1,No,Nintendo,Nintendo,Star Fox,Vehicle,Action,,,,,
Chained Echoes,77,90,-13,49%,"PS4, PS5, XB1, XBS, PC, Switch",XBS,2022,2023,,8,Dropped,0,No,Indie,Matthias Linda,Chained Echoes,Top down,JRPG,"Turn-based, story-driven",,,,
Loop Hero,77,84,-7,49%,PC,PC,2021,2022,,6,Dropped,0,No,Devolver Digital,Four Quarters,Loop Hero,Overview,Strategy,"Idle, card",,,,
Tony Hawk's Pro Skater 1+2,77,89,-12,49%,"PS4,XB1,PC,PS5,XBS",PS5,2020,2022,,2,Tried,0,No,Activision-Blizzard,Vicarious Visions,Tony Hawk's Pro Skater,Third person,Sports,Skate,,,,
Streets of Rage 4,77,84,-7,49%,"Switch, PC",XBS,2020,2021,,3,Dropped,1,No,Indie,Dotemu,Streets of Rage,2D,Brawler,,,,,
Ring Fit Adventure,77,83,-6,49%,Switch,Switch,2019,2019,"2020, 2021, 2022, 2023, 2024",33,Finished,0,No,Nintendo,Nintendo,Ring Fit,Third person,Fitness,"JRPG, turn-based",,,,
Sekiro Shadows Die Twice,77,90,-13,49%,"PS4,XB1,PC",PS4,2019,2019,2020,11,Tried,0,No,Activision-Blizzard,From Software,Sekiro,Third person,Soulslike,"Action-RPG, action",,,,
Gris,77,84,-7,49%,Switch,Switch,2018,2019,,4,Finished,1,No,Devolver Digital,Nomada Studio,Gris,2D,Adventure,"Platformer, linear",,,,
Call of Duty WW2,77,79,-2,49%,PS4,PS4,2017,2017,2019,62,Finished,1,No,Activision-Blizzard,Sledgehammer Games,Call of Duty,First person,Shooter,"Linear, multiplayer",,,,
Heavy Rain,77,87,-10,49%,PS3,PS4,2010,2017,,13,Finished,1,No,Sony,Quantic Dream,Heavy Rain,Third person,Interactive Story,"Story-driven, linear",,,,
Call of Duty Infinite Warfare,77,77,0,49%,PS4,PS4,2016,2016,,14,Finished,1,No,Activision-Blizzard,Infinity Ward,Call of Duty,First person,Shooter,Multiplayer,,,,
The Order 1886,77,63,14,49%,PS4,PS4,2015,2015,,8,One-hundred,1,No,Sony,Ready at Dawn,The Order,Third person,Cover-shooter,"Linear, story-driven, horror",,,,
Football Manager 2014,77,85,-8,49%,PC,PC,2013,2014,2014,74,Finished,,No,SEGA,Sports Interactive,Football Manager,Overview,Simulation,"Sports (football), management",,,,
Battlefield 4,77,85,-8,49%,PS4,PS4,2013,2013,,50,Finished,1,No,EA,DICE,Battlefield,First person,Shooter,"Linear, multiplayer",,,,
F1 2012,77,81,-4,49%,PC,PC,2012,2012,2013,110,Finished,,No,Codemasters,Codemasters,F1,Vehicle,Racing,"Simcade, sports, simulation",,,,
Lego Indiana Jones: The Original Adventures,77,77,0,49%,"PS2, PS3, X360, PC, DS, PSP",PS2,2008,2008,,15,Extra,1,No,LucasArts,Traveller's Tales,Lego Games,Third person,Action-platformer,Sandbox,,,,
Roboquest,76,85,-9,46%,"XB1, XBS, PC",XBS,2023,2024,,5,Finished,,No,Indie,RyseUp Studios,Roboquest,First person,Roguelike,"Shooter, action",,,,
Metroid: Zero Mission,76,89,-13,46%,GBA,NSW,2004,2024,,5,Finished,1,,Nintendo,Nintendo,Metroid,2D,Metroidvania,"Remake, platformer",,,,
Super Mario RPG (Remake),76,84,-8,46%,Switch,Switch,2023,2023,,12,Finished,1,No,Nintendo,Nintendo,Mario RPG,Top down,JRPG,"Turn-based, remake",,,,
Starfield,76,85,-9,46%,"PC, XBS",XBS,2023,2023,,28,Finished,1,No,Bethesda,Bethesda Softworks,Starfield,First person,RPG,Shooter,,,,
Overwatch 2,76,77,-1,46%,"PS4, PS5, XB1, XBS, PC",PS5,2022,2022,,26,Finished,,No,Activision-Blizzard,Blizzard,Overwatch,First person,Shooter,Multiplayer,,,,
Freshly Frosted,76,89,-13,46%,"PS4, XB1, PC, Switch",Switch,2022,2022,,5,Finished,1,No,Indie,The Quantum Astrophysicists Guild,Freshly Frosted,Overview,Puzzle,,,,,
A Plague Tale: Innocence,76,82,-6,46%,"PC, PS4, XB1",XBS,2019,2022,,8,Finished,1,No,Focus Home Interactive,Asobo Studio,A Plague Tale,Third person,Stealth,"Linear, puzzles, story-driven, survival",,,,
Trials Fusion,76,79,-3,46%,"PC, PS4, XB1",PS5,2014,2022,,8,Finished,1,No,Ubisoft,RedLynx,Trials,2D,Racing,"Arcade, platforming, party",,,,
Deep Rock Galactic,76,85,-9,46%,"PC, XB1",PC,2020,2021,,11,Dropped,,Yes,Coffee Stain,Ghost Ship Games,Deep Rock Galactic,First person,Shooter,"Action, exploration, multiplayer (co-op)",,,,
Warhammer Vermentide 2,76,83,-7,46%,PC,PC,2018,2021,,9,Finished,1,No,Indie,Fatshark,Warhammer,First person,Action,Looter,,,,
Monster Hunter World,76,89,-13,46%,"PS4, PC",PS5,2018,2021,,7,Dropped,0,Yes,Capcom,Capcom,Monster Hunter,Third person,Action-RPG,"Action, monster hunting, multiplayer (co-op)",,,,
Pyre,76,84,-8,46%,"PS4, PC",PC,2017,2021,,5,Dropped,0,No,Indie,Supergiant,Pyre,Top down,Action-RPG,"Strategy, sports, story-driven",,,,
Doom (2016),76,85,-9,46%,"PS4, XB1, PC",PS4,2016,2020,,9,Finished,1,No,Bethesda,id Software,Doom,First person,Shooter,"Action, linear",,,,
Moss PSVR,76,85,-9,46%,PS4,PS4,2018,2019,,3,Finished,1,No,Indie,Polyarc,Moss,Top down,Action-adventure,"Puzzles, VR, linear",,,,
